host_response_time,host_response_rate,host_neighbourhood,host_listings_count,neighbourhood,city,state,zipcode,latitude,longitude,property_type,room_type,accommodates,bathrooms,bedrooms,beds,bed_type,security_deposit,cleaning_fee,extra_people,minimum_nights,maximum_nights,number_of_reviews,review_scores_rating,reviews_per_month,price
within an hour,84%,Ipanema,12.0,Ipanema,Rio De Janeiro,Rj,22411-002,-22.98262,-43.2072,Apartment,Entire home/apt,4,2.0,2.0,2.0,Real Bed,$500.00,$130.00,$23.00,2,1125,21,81.0,0.32,309.0
within a day,50%,Barra da Tijuca,1.0,Barra da Tijuca,Barra da Tijuca,Rio de Janeiro,22630-010,-23.01124,-43.32676,Apartment,Entire home/apt,2,1.0,1.0,1.0,Real Bed,,,$0.00,1,1125,5,88.0,1.15,351.0
within an hour,99%,Ipanema,340.0,Copacabana,Copacabana,Rio de Janeiro,22081-010,-22.98264,-43.19115,Apartment,Entire home/apt,8,3.5,3.0,7.0,Real Bed,"$1,000.00",$190.00,$48.00,4,1125,1,100.0,0.06,398.0
within a few hours,100%,Lagoa,7.0,Lagoa,Rio de Janeiro,Rio de Janeiro,22061,-22.97651,-43.1989,Apartment,Entire home/apt,10,3.0,3.0,6.0,Real Bed,"$1,972.00",$498.00,$174.00,3,120,7,94.0,0.13,849.0
within a day,75%,Joá,4.0,Joá,Rio de Janeiro,RJ,22611-021,-23.00995,-43.289590000000004,House,Entire home/apt,2,1.5,1.0,2.0,Real Bed,,,$100.00,2,9,1,100.0,0.09,70.0
,,,5.0,Guadalupe,Rio de Janeiro,State of Rio de Janeiro,,-22.83519,-43.38007,House,Private room,4,1.5,1.0,1.0,Real Bed,,,$0.00,4,1125,1,80.0,0.03,151.0
within a day,60%,Centro,1.0,Centro,Rio de Janeiro,Rio de Janeiro,20240-020,-22.9156,-43.18881,Apartment,Private room,2,1.0,1.0,2.0,Real Bed,,,$50.00,1,1125,33,99.0,1.18,54.0
within an hour,100%,Ipanema,2.0,Leblon,Rio de Janeiro,Rio de Janeiro,22440,-22.98656,-43.22623,Apartment,Entire home/apt,3,2.0,1.0,1.0,Real Bed,,$150.00,$0.00,3,1125,3,100.0,0.09,351.0
within a few hours,100%,Recreio dos Bandeirantes,1.0,Recreio dos Bandeirantes,Rio de Janeiro,Rio de Janeiro,22790-873,-23.0254,-43.52375,Guesthouse,Entire home/apt,4,1.5,2.0,3.0,Real Bed,$0.00,$0.00,$80.00,2,90,3,100.0,0.08,320.0
a few days or more,0%,Botafogo,4.0,Botafogo,Rio de Janeiro,Rio de Janeiro,22250,-22.950860000000002,-43.18331,Hostel,Private room,2,1.0,1.0,1.0,Real Bed,,,$0.00,20,40,5,92.0,0.18,109.0
within a day,90%,Copacabana,130.0,Ipanema,Rio de Janeiro,Rio de Janeiro,22081,-22.98824,-43.18942,Apartment,Entire home/apt,5,2.5,2.0,2.0,Real Bed,$500.00,$220.00,$75.00,3,1125,9,83.0,0.2,521.0
within an hour,100%,Leblon,4.0,Leblon,Leblon,Rio de Janeiro,22440-033,-22.98475,-43.21673,Apartment,Entire home/apt,4,1.0,2.0,3.0,Real Bed,,$180.00,$0.00,2,1125,1,100.0,0.29,401.0
within an hour,100%,Leblon,1.0,Leblon,Rio de Janeiro,Rio de Janeiro,22441-120,-22.98614,-43.22614,Apartment,Entire home/apt,2,1.0,1.0,1.0,Real Bed,,$65.00,$0.00,1,1125,82,98.0,1.99,432.0
within an hour,100%,Copacabana,2.0,Copacabana,Rio de Janeiro,Rio de Janeiro,22041-080,-22.967570000000002,-43.1886,Apartment,Entire home/apt,5,1.5,2.0,2.0,Real Bed,$0.00,$150.00,$25.00,3,30,12,92.0,0.49,301.0
within an hour,100%,Ipanema,1.0,Ipanema,Ipanema,Rio de Janeiro,22410-003,-22.98469,-43.20293,Apartment,Entire home/apt,6,2.0,2.0,3.0,Real Bed,$500.00,$350.00,$50.00,1,1125,42,100.0,2.35,340.0
within an hour,100%,Santa Teresa,16.0,Santa Teresa,Rio de Janeiro,Rio de Janeiro,20241-020,-22.91884,-43.18,Serviced apartment,Entire home/apt,6,2.0,2.0,3.0,Real Bed,$350.00,$100.00,$30.00,1,1125,78,98.0,1.48,251.0
,,,1.0,Maracanã,Rio de janeiro,RJ,20271-000,-22.91168,-43.22125,Apartment,Private room,2,1.0,0.0,1.0,Real Bed,,,$0.00,1,1125,5,92.0,1.09,73.0
within a few hours,100%,,1.0,Centro,Rio de Janeiro,Rio de Janeiro,20031,-22.9067,-43.17879,Apartment,Entire home/apt,4,1.0,,2.0,Real Bed,,,$0.00,2,1125,42,97.0,0.95,131.0
within an hour,100%,,2.0,Leme,Rio de Janeiro,Rio de Janeiro,,-22.965429999999998,-43.17214,Apartment,Entire home/apt,2,1.0,0.0,2.0,Pull-out Sofa,$0.00,$58.00,$0.00,2,15,88,95.0,2.94,162.0
